ExploitInno,ExploreInno,ProcessInno,FirmPerf,TrustInRegion,EnvironDyn,EnvironComp,Strategy,ClusterMgmt,AbsorpCap,ClusterNr,FirmAgeLog,FirmSizeLog,CommonFactor
-0.572866967311945,-0.6816726075357802,0.5428738703051303,0.7812803538204803,1.2486190391590604,1.427317910411935,0.45896608652065984,-2.3513909836136238,-1.313565201021882,-0.07872645245514318,12,3.321928094887362,4.321928094887363,-0.029515456859384948
0.9082634396270578,1.1804153507708193,-0.6180771770140662,0.16711115429066953,1.055930915832045,0.18985047868611757,-0.39375779007510187,1.2476768484480452,-1.1651935876422082,0.7659652446063789,12,2.321928094887362,2.584962500721156,0.7145433985692167
-0.4247539266180447,-0.10872246651836501,0.5428738703051303,-1.9824810440636682,0.4778665458509985,0.5434126020363511,-0.8201197283729827,0.04798757109415563,-0.8684503608828609,0.44108382265963963,12,3.4594316186372973,3.584962500721156,0.2566610259977695
0.3158112768514567,0.607465209753404,0.9298575527448625,0.7812803538204803,0.670554669178014,1.0737557870617014,-0.39375779007510187,0.34790989043262804,1.5054954531919182,0.24615496949159607,12,2.0,3.321928094887362,0.9721022331406557
-0.2766408859241444,0.1777526039903426,0.15589018786539816,0.16711115429066953,-0.6782621941110945,0.5434126020363511,0.24578511737171943,0.34790989043262804,-0.42333552074383973,0.37610753827029175,12,4.754887502163468,8.451211111832329,0.4283669157120622
-1.3134321707814463,-1.541097819061903,-1.5855363831133966,-0.13997344547423587,0.09249029919696752,0.36663154036123435,0.24578511737171943,-2.3513909836136238,0.7636373862935498,-1.0533707182953609,12,4.247927513443585,2.584962500721156,-0.5732507742879784
0.01958519546365617,0.1777526039903426,-0.6180771770140662,0.16711115429066953,1.055930915832045,0.5434126020363511,-0.18057682092616142,0.9477545291095728,-0.5717071341235135,-0.40360787440188245,12,3.4594316186372973,9.276124405274238,0.22804337771205407
0.463924317545357,-0.2519600017727188,0.15589018786539816,1.395449553350291,0.670554669178014,1.2505368487368183,-0.39375779007510187,-0.10197358857508057,-1.0168219742625344,0.5060601070489875,12,4.169925001442312,4.247927513443585,0.542837508854924
0.9082634396270578,0.607465209753404,1.3168412351845946,0.7812803538204803,1.441307162486076,1.427317910411935,-1.459662635819804,0.9477545291095728,1.5054954531919182,0.24615496949159607,12,4.523561956057013,7.643856189774724,1.0293375297120866
0.7601503989331575,0.1777526039903426,-0.231093494574334,-0.4470580452391413,0.4778665458509985,0.7201936637114679,-0.39375779007510187,0.34790989043262804,-1.4619368144015557,0.05122611632355253,12,5.321928094887363,7.894817763307944,0.11357278456919229
